reaction_id,gr_ratio,gr
EX_dms_LPAREN_e_RPAREN_,1,0.986509
EX_dmso_LPAREN_e_RPAREN_,1,0.986509
EX_dopa_LPAREN_e_RPAREN_,1,0.986509
EX_doxrbcn_LPAREN_e_RPAREN_,1,0.986509
EX_dtmp_LPAREN_e_RPAREN_,1,0.986509
EX_dump_LPAREN_e_RPAREN_,1,0.986509
EX_duri_LPAREN_e_RPAREN_,1,0.986509
EX_eca4colipa_LPAREN_e_RPAREN_,1,0.986509
EX_enlipa_LPAREN_e_RPAREN_,1,0.986509
EX_enter_LPAREN_e_RPAREN_,1,0.986509
EX_etha_LPAREN_e_RPAREN_,1,0.986509
EX_ethso3_LPAREN_e_RPAREN_,1,0.986509
EX_etoh_LPAREN_e_RPAREN_,1,0.986509
EX_f6p_LPAREN_e_RPAREN_,1,0.986509
EX_fald_LPAREN_e_RPAREN_,1,0.986509
EX_fe2_LPAREN_e_RPAREN_,0.999916,0.986426133
EX_fe3_LPAREN_e_RPAREN_,1,0.986509
EX_fe3dcit_LPAREN_e_RPAREN_,1,0.986509
EX_fe3dhbzs_LPAREN_e_RPAREN_,1,0.986509
EX_fe3hox_LPAREN_e_RPAREN_,1,0.986509
EX_fe3hox_DASH_un_LPAREN_e_RPAREN_,1,0.986509
EX_fecrm_LPAREN_e_RPAREN_,1,0.986509
EX_fecrm_DASH_un_LPAREN_e_RPAREN_,1,0.986509
EX_feenter_LPAREN_e_RPAREN_,1,0.986509
EX_feoxam_LPAREN_e_RPAREN_,1,0.986509
EX_feoxam_DASH_un_LPAREN_e_RPAREN_,1,0.986509
EX_for_LPAREN_e_RPAREN_,1,0.986509
EX_fru_LPAREN_e_RPAREN_,1,0.986509
EX_frulys_LPAREN_e_RPAREN_,1,0.986509
EX_fruur_LPAREN_e_RPAREN_,1,0.986509
EX_fuc_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_fum_LPAREN_e_RPAREN_,1,0.986509
EX_fusa_LPAREN_e_RPAREN_,1,0.986509
EX_g1p_LPAREN_e_RPAREN_,1,0.986509
EX_g3pc_LPAREN_e_RPAREN_,1,0.986509
EX_g3pe_LPAREN_e_RPAREN_,1,0.986509
EX_g3pg_LPAREN_e_RPAREN_,1,0.986509
EX_g3pi_LPAREN_e_RPAREN_,1,0.986509
EX_g3ps_LPAREN_e_RPAREN_,1,0.986509
EX_g6p_LPAREN_e_RPAREN_,1,0.986509
EX_gal_LPAREN_e_RPAREN_,1,0.986509
EX_gal_DASH_bD_LPAREN_e_RPAREN_,1,0.986509
EX_gal1p_LPAREN_e_RPAREN_,1,0.986509
EX_galct_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_galctn_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_galctn_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_galt_LPAREN_e_RPAREN_,1,0.986509
EX_galur_LPAREN_e_RPAREN_,1,0.986509
EX_gam_LPAREN_e_RPAREN_,1,0.986509
EX_gam6p_LPAREN_e_RPAREN_,1,0.986509
EX_gbbtn_LPAREN_e_RPAREN_,1,0.986509
EX_gdp_LPAREN_e_RPAREN_,1,0.986509
EX_glc_LPAREN_e_RPAREN_,-0.0170015,-0.016772133
EX_glcn_LPAREN_e_RPAREN_,1,0.986509
EX_glcr_LPAREN_e_RPAREN_,1,0.986509
EX_glcur_LPAREN_e_RPAREN_,1,0.986509
EX_glcur1p_LPAREN_e_RPAREN_,1,0.986509
EX_gln_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_glu_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_gly_LPAREN_e_RPAREN_,1,0.986509
EX_glyald_LPAREN_e_RPAREN_,1,0.986509
EX_glyb_LPAREN_e_RPAREN_,1,0.986509
EX_glyc_LPAREN_e_RPAREN_,1,0.986509
EX_glyc_DASH_R_LPAREN_e_RPAREN_,1,0.986509
EX_glyc2p_LPAREN_e_RPAREN_,1,0.986509
EX_glyc3p_LPAREN_e_RPAREN_,1,0.986509
EX_glyclt_LPAREN_e_RPAREN_,1,0.986509
EX_gmp_LPAREN_e_RPAREN_,1,0.986509
EX_gsn_LPAREN_e_RPAREN_,1,0.986509
EX_gthox_LPAREN_e_RPAREN_,1,0.986509
EX_gthrd_LPAREN_e_RPAREN_,1,0.986509
EX_gtp_LPAREN_e_RPAREN_,1,0.986509
EX_gua_LPAREN_e_RPAREN_,1,0.986509
EX_h_LPAREN_e_RPAREN_,1,0.986509
EX_h2_LPAREN_e_RPAREN_,1,0.986509
EX_h2o_LPAREN_e_RPAREN_,0.505782,0.498958495
EX_h2o2_LPAREN_e_RPAREN_,1,0.986509
EX_h2s_LPAREN_e_RPAREN_,1,0.986509
EX_hacolipa_LPAREN_e_RPAREN_,1,0.986509
EX_halipa_LPAREN_e_RPAREN_,1,0.986509
EX_hdca_LPAREN_e_RPAREN_,1,0.986509
EX_hdcea_LPAREN_e_RPAREN_,1,0.986509
EX_hg2_LPAREN_e_RPAREN_,1,0.986509
EX_his_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_hom_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_hxa_LPAREN_e_RPAREN_,1,0.986509
EX_hxan_LPAREN_e_RPAREN_,1,0.986509
EX_idon_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_ile_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_imp_LPAREN_e_RPAREN_,1,0.986509
EX_indole_LPAREN_e_RPAREN_,1,0.986509
EX_inost_LPAREN_e_RPAREN_,1,0.986509
EX_ins_LPAREN_e_RPAREN_,1,0.986509
EX_isetac_LPAREN_e_RPAREN_,1,0.986509
EX_k_LPAREN_e_RPAREN_,0,0
EX_kdo2lipid4_LPAREN_e_RPAREN_,1,0.986509
EX_lac_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_lac_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_lcts_LPAREN_e_RPAREN_,1,0.986509
EX_leu_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_lipa_LPAREN_e_RPAREN_,1,0.986509
EX_lipa_cold_LPAREN_e_RPAREN_,1,0.986509
EX_lipoate_LPAREN_e_RPAREN_,1,0.986509
EX_lys_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_lyx_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_mal_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_mal_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_malt_LPAREN_e_RPAREN_,1,0.986509
EX_malthx_LPAREN_e_RPAREN_,1,0.986509
EX_maltpt_LPAREN_e_RPAREN_,1,0.986509
EX_malttr_LPAREN_e_RPAREN_,1,0.986509
EX_maltttr_LPAREN_e_RPAREN_,1,0.986509
EX_man_LPAREN_e_RPAREN_,1,0.986509
EX_man6p_LPAREN_e_RPAREN_,1,0.986509
EX_manglyc_LPAREN_e_RPAREN_,1,0.986509
EX_melib_LPAREN_e_RPAREN_,1,0.986509
EX_meoh_LPAREN_e_RPAREN_,0,0
EX_met_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_met_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_metsox_DASH_R_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_metsox_DASH_S_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_mg2_LPAREN_e_RPAREN_,0,0
EX_mincyc_LPAREN_e_RPAREN_,1,0.986509
EX_minohp_LPAREN_e_RPAREN_,1,0.986509
EX_mmet_LPAREN_e_RPAREN_,1,0.986509
EX_mn2_LPAREN_e_RPAREN_,0,0
EX_mnl_LPAREN_e_RPAREN_,1,0.986509
EX_mobd_LPAREN_e_RPAREN_,0,0
EX_mso3_LPAREN_e_RPAREN_,1,0.986509
EX_n2o_LPAREN_e_RPAREN_,1,0.986509
EX_na1_LPAREN_e_RPAREN_,1,0.986509
EX_nac_LPAREN_e_RPAREN_,1,0.986509
EX_nh4_LPAREN_e_RPAREN_,0,0
EX_ni2_LPAREN_e_RPAREN_,0,0
EX_nmn_LPAREN_e_RPAREN_,1,0.986509
EX_no_LPAREN_e_RPAREN_,1,0.986509
EX_no2_LPAREN_e_RPAREN_,1,0.986509
EX_no3_LPAREN_e_RPAREN_,1,0.986509
EX_novbcn_LPAREN_e_RPAREN_,1,0.986509
EX_o16a4colipa_LPAREN_e_RPAREN_,1,0.986509
EX_o2_LPAREN_e_RPAREN_,0.245836,0.242519427
EX_o2s_LPAREN_e_RPAREN_,1,0.986509
EX_ocdca_LPAREN_e_RPAREN_,1,0.986509
EX_ocdcea_LPAREN_e_RPAREN_,1,0.986509
EX_octa_LPAREN_e_RPAREN_,1,0.986509
EX_orn_LPAREN_e_RPAREN_,1,0.986509
EX_orot_LPAREN_e_RPAREN_,1,0.986509
EX_pacald_LPAREN_e_RPAREN_,1,0.986509
EX_peamn_LPAREN_e_RPAREN_,1,0.986509
EX_phe_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_pheme_LPAREN_e_RPAREN_,1,0.986509
EX_pi_LPAREN_e_RPAREN_,7.92E-12,7.81764E-12
EX_pnto_DASH_R_LPAREN_e_RPAREN_,1,0.986509
EX_ppa_LPAREN_e_RPAREN_,1,0.986509
EX_ppal_LPAREN_e_RPAREN_,1,0.986509
EX_pppn_LPAREN_e_RPAREN_,1,0.986509
EX_ppt_LPAREN_e_RPAREN_,1,0.986509
EX_pro_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_progly_LPAREN_e_RPAREN_,1,0.986509
EX_psclys_LPAREN_e_RPAREN_,1,0.986509
EX_pser_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_ptrc_LPAREN_e_RPAREN_,1,0.986509
EX_pydam_LPAREN_e_RPAREN_,1,0.986509
EX_pydx_LPAREN_e_RPAREN_,1,0.986509
EX_pydxn_LPAREN_e_RPAREN_,1,0.986509
EX_pyr_LPAREN_e_RPAREN_,1,0.986509
EX_quin_LPAREN_e_RPAREN_,1,0.986509
EX_r5p_LPAREN_e_RPAREN_,1,0.986509
EX_rfamp_LPAREN_e_RPAREN_,1,0.986509
EX_rib_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_rmn_LPAREN_e_RPAREN_,1,0.986509
EX_sbt_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_sel_LPAREN_e_RPAREN_,1,0.986509
EX_ser_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_ser_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_skm_LPAREN_e_RPAREN_,1,0.986509
EX_slnt_LPAREN_e_RPAREN_,1,0.986509
EX_so2_LPAREN_e_RPAREN_,1,0.986509
EX_so3_LPAREN_e_RPAREN_,1,0.986509
EX_so4_LPAREN_e_RPAREN_,0,0
EX_spmd_LPAREN_e_RPAREN_,1,0.986509
EX_succ_LPAREN_e_RPAREN_,1,0.986509
EX_sucr_LPAREN_e_RPAREN_,1,0.986509
EX_sulfac_LPAREN_e_RPAREN_,1,0.986509
EX_tartr_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_tartr_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_taur_LPAREN_e_RPAREN_,1,0.986509
EX_tcynt_LPAREN_e_RPAREN_,1,0.986509
EX_thm_LPAREN_e_RPAREN_,1,0.986509
EX_thr_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_thrp_LPAREN_e_RPAREN_,1,0.986509
EX_thym_LPAREN_e_RPAREN_,1,0.986509
EX_thymd_LPAREN_e_RPAREN_,1,0.986509
EX_tma_LPAREN_e_RPAREN_,1,0.986509
EX_tmao_LPAREN_e_RPAREN_,1,0.986509
EX_tre_LPAREN_e_RPAREN_,1,0.986509
EX_trp_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_tsul_LPAREN_e_RPAREN_,1,0.986509
EX_ttdca_LPAREN_e_RPAREN_,1,0.986509
EX_ttdcea_LPAREN_e_RPAREN_,1,0.986509
EX_ttrcyc_LPAREN_e_RPAREN_,1,0.986509
EX_tungs_LPAREN_e_RPAREN_,1,0.986509
EX_tym_LPAREN_e_RPAREN_,1,0.986509
EX_tyr_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_tyrp_LPAREN_e_RPAREN_,1,0.986509
EX_uacgam_LPAREN_e_RPAREN_,1,0.986509
EX_udpacgal_LPAREN_e_RPAREN_,1,0.986509
EX_udpg_LPAREN_e_RPAREN_,1,0.986509
EX_udpgal_LPAREN_e_RPAREN_,1,0.986509
EX_udpglcur_LPAREN_e_RPAREN_,1,0.986509
EX_ump_LPAREN_e_RPAREN_,1,0.986509
EX_ura_LPAREN_e_RPAREN_,1,0.986509
EX_urea_LPAREN_e_RPAREN_,1,0.986509
EX_uri_LPAREN_e_RPAREN_,1,0.986509
EX_val_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_xan_LPAREN_e_RPAREN_,1,0.986509
EX_xmp_LPAREN_e_RPAREN_,1,0.986509
EX_xtsn_LPAREN_e_RPAREN_,1,0.986509
EX_xyl_DASH_D_LPAREN_e_RPAREN_,1,0.986509
EX_xylu_DASH_L_LPAREN_e_RPAREN_,1,0.986509
EX_zn2_LPAREN_e_RPAREN_,0,0
12DGR120tipp,1,0.986509
12DGR140tipp,1,0.986509
12DGR141tipp,1,0.986509
12DGR160tipp,1,0.986509
12DGR161tipp,1,0.986509
12DGR180tipp,1,0.986509
12DGR181tipp,1,0.986509
12PPDRtex,1,0.986509
12PPDRtpp,1,0.986509
12PPDStex,1,0.986509
12PPDStpp,1,0.986509
14GLUCANabcpp,1,0.986509
14GLUCANtexi,1,0.986509
23CAMPtex,1,0.986509
