reaction_id,reaction_formula,dG0_r,dG_r_lb,dG_r_ub,flux_lb,flux_ub,metabolomics_coverage,dG_coverage,is_feasible
CSND,h2o_c + h_c + csn_c --> ura_c + nh4_c,-65.30000000000001,-127.88863588333298,-74.45188992631225,0.0,1.3949985024454727,0.0,1.0,True
ADNt2pp,h_p + adn_p --> adn_c + h_c,40.0,-3076.538466228829,-3040.9139689241483,0.0,1000.0,0.0,1.0,True
GTPDPDP,h2o_c + gdptp_c --> h_c + ppgpp_c + pi_c,17.5,-28.457754961522838,7.166742343157637,0.0,2.0924977536296865,0.0,1.0,True
CITtex_reverse,cit_p --> cit_e,0.0,10354.08403884766,10389.708536152342,0.0,1000.0,0.0,1.0,True
GAMtex_reverse,gam_p --> gam_e,0.0,-3475.1110111523412,-3439.4865138476607,0.0,1000.0,0.0,1.0,True
MEOHtrpp_reverse,meoh_c --> meoh_p,-11.4,-29.21224865234024,6.412248652340239,7.645895720997942e-07,1000.000000800663,0.0,1.0,True
NH4tpp_reverse,nh4_c --> nh4_p,-11.399999999999991,-3888.129823652341,-3852.5053263476607,0.0,995.9835041709857,0.0,1.0,True
3OAR120_reverse,nadp_c + 3hddecACP_c --> h_c + 3oddecACP_c + nadph_c,107.39999999999998,-1999915.9281718982,2000135.7464423333,0.0,1000.0,0.5,0.6,True
NMNtex_reverse,nmn_p --> nmn_e,0.0,3439.4865138476607,3475.1110111523412,0.0,1000.0,0.0,1.0,True
NTD10,h2o_c + xmp_c --> xtsn_c + pi_c,-12.800000000000182,-58.75775496152302,-23.133257656842545,0.0,4.184995507299277,0.0,1.0,True
NTD11,imp_c + h2o_c --> pi_c + ins_c,-12.700000000000045,-58.65775496152288,-23.03325765684241,0.0,4.184995507362089,0.0,1.0,True
NTD12,h2o_c + dimp_c --> din_c + pi_c,-12.70000000000016,-58.657754961523,-23.033257656842522,0.0,0.9132623438382543,0.0,1.0,True
PMEACPE,pmeACP_c + h2o_c --> meoh_c + pimACP_c,148.70000000000002,-1999913.888635883,2000139.548110074,7.645895720997942e-07,8.489238736923652e-07,0.0,0.5,True
PItex_reverse,pi_p --> pi_e,0.0,6914.597525000002,6914.597525000002,0.0,999.6455569053617,0.0,1.0,True
XTSNH,xtsn_c + h2o_c --> xan_c + rib_DASH_D_c,-9.400000000000006,-71.98863588333296,-18.551889926312242,0.0,4.18499550716399,0.0,1.0,True
DDPA,h2o_c + e4p_c + pep_c --> 2dda7p_c + pi_c,-70.79999999999973,-102.41653779496869,-54.79179830425363,0.14218461119519976,0.15829926960491264,0.2,1.0,True
DCAtex_reverse,dca_p --> dca_e,0.0,3439.4865138476607,3475.1110111523412,0.0,1000.0,0.0,1.0,True
Htex,h_e --> h_p,0.0,-3498.8606760221282,-3498.8606760221282,0.0,974.6173957499848,0,1.0,True
P5CD,1pyr5c_c + 2 h2o_c + nad_c --> h_c + nadh_c + glu_DASH_L_c,-31.100000000000136,-59.98441262342436,-20.869416878898576,0.0,2.7899970049200618,0.6,1.0,True
2DGULRy,nadph_c + 2dhguln_c + h_c --> idon_DASH_L_c + nadp_c,-59.0,-87.34644233352385,-35.671828101763204,0.0,-0.0,0.5,1.0,True
2DGULRx,2dhguln_c + h_c + nadh_c --> idon_DASH_L_c + nad_c,-57.69999999999993,-82.6735324623962,-33.58591423769265,0.0,-0.0,0.5,1.0,True
GAMptspp,gam_p + pep_c --> pyr_c + gam6p_c,-4.699999999999818,-42.614161059936535,22.822827083118774,0.0,-0.0,0.25,1.0,True
THRt2rpp_reverse,thr_DASH_L_c + h_c --> h_p + thr_DASH_L_p,-28.499999999999986,-3948.719069143759,-3924.4033610092865,0.0,1000.0,0.5,1.0,True
P5CR,nadph_c + 1pyr5c_c + 2 h_c --> pro_DASH_L_c + nadp_c,-107.89999999999998,-136.24644233352382,-84.57182810176317,0.08211615845039999,0.9431905972230886,0.5,1.0,True
GLUTRR,glutrna_c + nadph_c + h_c --> glu1sa_c + trnaglu_c + nadp_c,-180.2,-2000242.9895719078,1999826.497290976,0.0020460417696313016,0.0022733794728353554,0.4,0.6666666666666666,True
GLUTRS,atp_c + trnaglu_c + glu_DASH_L_c --> glutrna_c + ppi_c + amp_c,144.0999999999999,-1999899.7066047513,2000159.112706884,0.0020460417696313016,0.002273379472830885,0.5,0.6666666666666666,True
ULA4Ntppi,uLa4n_c --> uLa4n_p,0.0,-2000017.8122486523,2000017.8122486523,0.0,-0.0,0.0,0.0,True
GLCtexi,glc_DASH_D_e --> glc_DASH_D_p,0.0,-17.81224865234024,17.81224865234024,0.0,1000.0,0.0,1.0,True
MSAR,msa_c + nadph_c + h_c --> 3hpp_c + nadp_c,-61.59999999999995,-89.9464423335238,-38.271828101763155,0.0,-0.0,0.5,1.0,True
AGM4Pt2pp,h_p + anhgm4p_p --> h_c + anhgm4p_c,2.8999999999999986,-1997002.278566229,2003033.3459310757,0.0,0.41849955073977624,0.0,0.5,True
EX_uacgam_LPAREN_e_RPAREN_,uacgam_e --> ,2086.4,2103.0308809218104,2120.84312957415,0.0,-0.0,0.0,1.0,True
KAS15,accoa_c + malACP_c + h_c --> coa_c + actACP_c + co2_c,-380.20000000000005,-2000422.0804949352,1999628.6507315473,0.0,0.16593043165740304,0.4,0.6666666666666666,True
