ID,dG0_f_rc,dG0_f_rc_error
C00135,23.8756965,0.047053587
C00137,-0.868761491,0.011894413
C00138,19.87591,0.095155308
C00139,-19.87591,0.095155308
C00140,155.7917108,0.091302421
C00143,18.57350594,0.058468463
C00144,803.0000875,0.118951064
C00147,307.5408635,0.115669444
C00148,159.2221327,0.7856575
C00149,-840.6454805,0.045278291
C00152,-525.8835429,0.380621231
C00153,257.2159913,0.121677401
C00154,83.30145127,0.093112221
C00155,-5.74636702,0.124821809
C00158,-1163.285716,0.060274338
C00159,-913.6519795,0.050071646
C00160,-532.5952735,0.108647809
C00163,72.25501633,0.240461685
C00164,-487.616983,0.174095319
C00166,-307.7241138,0.618044133
C00167,351.6081197,0.054939732
C00168,-618.3161573,0.059473349
C00169,-1240.732577,0.388837286
C00170,695.1614707,0.124837262
C00178,-100.7046364,0.113160839
C00181,-750.2234666,0.114207207
C00183,-358.6753704,0.380621231
C00184,-452.0651921,0.19659866
C00185,-1580.99975,0.194166264
C00186,-511.5348891,0.039289355
C00188,-529.050446,0.222838483
C00189,-27.77343237,0.136784384
C00190,-0.067110606,0.031718436
C00191,-0.278216047,0.095155308
C00197,-1504.714226,0.026664245
C00198,-902.7446227,0.072814839
C00199,-1595.165381,0.041397442
C00204,-922.403487,0.491176034
C00206,-15.248104,0.010572812
C00207,-160.1907407,0.194673138
C00208,-1579.342806,0.128894428
C00209,-673.8603709,0.380621231
C00212,-192.5983261,0.092168138
C00214,100.7046364,0.113160839
C00216,-746.0192054,0.105560517
C00217,-691.2991829,0.272063471
C00218,-39.85412254,0.380621231
C00219,-98.59255672,0.05185068
C00222,-477.4801447,0.77498106
C00224,-1541.333679,0.223385787
C00225,-300.7690464,0.095155308
C00227,-1224.579906,0.053668549
C00229,4.55E-12,5.15E-30
C00231,-1598.668609,0.065427221
C00232,-25.60044007,0.033700826
C00233,-449.3883493,0.226011356
C00234,-202.2847345,0.086489476
C00235,-2.451195097,0.095155308
C00236,-2354.086788,0.050988121
C00237,-159.8346209,0.380621231
C00239,456.779892,0.098839105
C00242,2155.051581,0.294814478
C00243,-1576.057565,0.127304954
C00244,-108.6903086,0.380621231
C00246,-352.5900413,0.380621231
C00247,-913.3802923,0.220021262
C00248,11.16082075,0.01295018
C00249,-259.3525306,0.380621231
C00250,-18.84934184,0.073450137
C00251,-74.79370193,0.046302738
C00252,-1585.391298,0.086837071
C00253,683.3607607,0.120416999
C00256,-508.4567225,0.221780459
C00257,-1128.277404,0.380621231
C00258,-667.2594922,0.044883484
C00259,-2.45002121,0.031718436
C00261,18.96679503,0.019293867
C00262,91.4097217,0.147187633
C00263,-496.3258288,0.757985962
C00266,265.2996415,0.101527134
C00270,-315.3069737,0.048025325
C00273,-878.8863302,0.124422419
C00275,-1759.438375,0.066581219
C00279,-1440.545517,0.131667554
