reaction_id,reaction_formula,dG0_r,dG_r_lb,dG_r_ub,flux_lb,flux_ub,metabolomics_coverage,dG_coverage,is_feasible
CSND,1.0 h2o_c + 1.0 csn_c + 1.0 h_c -> 1.0 ura_c + 1.0 nh4_c,-65.30000000000001,-127.88863588333298,-74.45188992631225,0.0,1.3949864861010153,0.0,1.0,True
ADNt2pp,1.0 h_p + 1.0 adn_p -> 1.0 adn_c + 1.0 h_c,40.0,-3076.538466228829,-3040.9139689241483,0.0,1000.0,0.0,1.0,True
GTPDPDP,1.0 h2o_c + 1.0 gdptp_c -> 1.0 ppgpp_c + 1.0 pi_c + 1.0 h_c,17.49999999999909,-28.457754961523747,7.166742343156727,0.0,2.092479729158109,0.0,1.0,True
NTD10,1.0 xmp_c + 1.0 h2o_c -> 1.0 pi_c + 1.0 xtsn_c,-12.800000000000182,-58.75775496152302,-23.133257656842545,0.0,4.184959458296372,0.0,1.0,True
NTD11,1.0 h2o_c + 1.0 imp_c -> 1.0 pi_c + 1.0 ins_c,-12.700000000000045,-58.65775496152288,-23.03325765684241,0.0,4.184959458304778,0.0,1.0,True
NTD12,1.0 dimp_c + 1.0 h2o_c -> 1.0 din_c + 1.0 pi_c,-12.70000000000016,-58.657754961523,-23.033257656842522,0.0,0.9132544769571443,0.0,1.0,True
PMEACPE,1.0 pmeACP_c + 1.0 h2o_c -> 1.0 pimACP_c + 1.0 meoh_c,148.70000000000002,86.1113641167369,139.5481100737576,7.645824e-07,8.491457683717389e-07,0.0,0.5,False
XTSNH,1.0 h2o_c + 1.0 xtsn_c -> 1.0 rib_DASH_D_c + 1.0 xan_c,-9.400000000000006,-71.98863588333296,-18.551889926312242,0.0,4.184959458287784,0.0,1.0,True
DDPA,1.0 pep_c + 1.0 e4p_c + 1.0 h2o_c -> 1.0 pi_c + 1.0 2dda7p_c,-70.79999999999973,-102.41653779496869,-54.79179830425363,0.14218327226867136,0.1582976254642118,0.2,1.0,True
Htex,1.0 h_e <=> 1.0 h_p,0.0,-3498.8606760221282,-3498.8606760221282,-75.60219656955331,-25.382683069928476,0,1.0,False
P5CD,1.0 1pyr5c_c + 2.0 h2o_c + 1.0 nad_c -> 1.0 glu_DASH_L_c + 1.0 nadh_c + 1.0 h_c,-31.100000000000023,-59.98441262342425,-20.869416878898463,0.0,2.7899729721993936,0.6,1.0,True
2DGULRy,1.0 nadph_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 nadp_c + 1.0 idon_DASH_L_c,-58.99999999999994,-87.3464423335238,-35.67182810176315,0.0,-0.0,0.5,1.0,True
2DGULRx,1.0 nadh_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 idon_DASH_L_c + 1.0 nad_c,-57.69999999999993,-82.6735324623962,-33.58591423769265,0.0,-0.0,0.5,1.0,True
