reaction_id,reaction_formula,dG0_r,dG_r_lb,dG_r_ub,flux_lb,flux_ub,metabolomics_coverage,dG_coverage,is_feasible
CSND,1.0 h2o_c + 1.0 csn_c + 1.0 h_c -> 1.0 ura_c + 1.0 nh4_c,-65.30000000000001,-127.88863588333298,-74.45188992631225,0.0,3.345010743619739,0.0,1.0,True
ADNt2pp,1.0 h_p + 1.0 adn_p -> 1.0 adn_c + 1.0 h_c,40.0,-3076.538466228829,-3040.9139689241483,0.0,1000.0,0.0,1.0,True
GTPDPDP,1.0 h2o_c + 1.0 gdptp_c -> 1.0 ppgpp_c + 1.0 pi_c + 1.0 h_c,17.49999999999909,-28.457754961523747,7.166742343156727,0.0,5.017516115402259,0.0,1.0,True
NTD10,1.0 xmp_c + 1.0 h2o_c -> 1.0 pi_c + 1.0 xtsn_c,-12.800000000000182,-58.75775496152302,-23.133257656842545,0.0,10.03503223083776,0.0,1.0,True
NTD11,1.0 h2o_c + 1.0 imp_c -> 1.0 pi_c + 1.0 ins_c,-12.700000000000045,-51.777200826942796,-21.97769961424647,0.0,10.035032230808952,0.25,1.0,True
NTD12,1.0 h2o_c + 1.0 dimp_c -> 1.0 din_c + 1.0 pi_c,-12.70000000000016,-58.657754961523,-23.033257656842522,0.0,2.0100912924534935,0.0,1.0,True
PMEACPE,1.0 pmeACP_c + 1.0 h2o_c -> 1.0 pimACP_c + 1.0 meoh_c,148.70000000000002,86.1113641167369,139.5481100737576,1.6581851999999997e-06,1.726227340734387e-06,0.0,0.5,False
XTSNH,1.0 h2o_c + 1.0 xtsn_c -> 1.0 rib_DASH_D_c + 1.0 xan_c,-9.400000000000006,-71.98863588333296,-18.551889926312242,0.0,10.03503223082155,0.0,1.0,True
DDPA,1.0 pep_c + 1.0 h2o_c + 1.0 e4p_c -> 1.0 pi_c + 1.0 2dda7p_c,-70.79999999999973,-97.40976659595346,-54.03585574359265,0.30835943616240097,0.3433440859450056,0.2,1.0,True
Htex,1.0 h_e <=> 1.0 h_p,0.0,-3498.8606760221282,-3498.8606760221282,-22.11716041645679,-7.356425054113844,0,1.0,False
P5CD,1.0 1pyr5c_c + 2.0 h2o_c + 1.0 nad_c -> 1.0 glu_DASH_L_c + 1.0 nadh_c + 1.0 h_c,-31.100000000000136,-62.50613940701676,-21.6381580445585,0.0,8.02802578465969,0.6,1.0,True
2DGULRy,1.0 nadph_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 nadp_c + 1.0 idon_DASH_L_c,-59.0,-89.5884867194732,-39.64511977427557,0.0,-0.0,0.5,1.0,True
2DGULRx,1.0 nadh_c + 1.0 h_c + 1.0 2dhguln_c -> 1.0 idon_DASH_L_c + 1.0 nad_c,-57.69999999999993,-80.54699750064343,-29.06791878277638,0.0,-0.0,0.5,1.0,True
GAMptspp,1.0 pep_c + 1.0 gam_p -> 1.0 pyr_c + 1.0 gam6p_c,-4.699999999999818,-33.43966173255609,19.570466096193897,0.0,-0.0,0.5,1.0,True
P5CR,1.0 1pyr5c_c + 1.0 nadph_c + 2.0 h_c -> 1.0 pro_DASH_L_c + 1.0 nadp_c,-107.90000000000003,-138.48848671947326,-88.5451197742756,0.17808743229479998,4.40952123797106,0.5,1.0,True
GLUTRR,1.0 glutrna_c + 1.0 nadph_c + 1.0 h_c -> 1.0 nadp_c + 1.0 glu1sa_c + 1.0 trnaglu_c,-180.2,-245.23161629357696,-177.47600069603914,0.0044373035952000005,0.004930339087496462,0.4,0.6666666666666666,True
GLUTRS,1.0 glu_DASH_L_c + 1.0 atp_c + 1.0 trnaglu_c -> 1.0 glutrna_c + 1.0 ppi_c + 1.0 amp_c,144.0999999999999,100.10980017132916,156.8406533022258,0.0044373035952000005,0.004930339087496493,0.5,0.6666666666666666,False
ULA4Ntppi,1.0 uLa4n_c -> 1.0 uLa4n_p,0.0,-17.81224865234024,17.81224865234024,0.0,-0.0,0.0,0.0,True
GLCtexi,1.0 glc_DASH_D_e -> 1.0 glc_DASH_D_p,0.0,-17.81224865234024,17.81224865234024,0.0,1000.0,0.0,1.0,True
MSAR,1.0 nadph_c + 1.0 h_c + 1.0 msa_c -> 1.0 3hpp_c + 1.0 nadp_c,-61.59999999999995,-92.18848671947315,-42.24511977427552,0.0,-0.0,0.5,1.0,True
AGM4Pt2pp,1.0 h_p + 1.0 anhgm4p_p -> 1.0 anhgm4p_c + 1.0 h_c,2.8999999999999986,2997.721433771194,3033.3459310758744,0.0,1.0292340749569517,0.0,0.5,True
EX_uacgam_LPAREN_e_RPAREN_,1.0 uacgam_e ->,2086.4,2103.0308809218104,2120.84312957415,0.0,-0.0,0.0,1.0,True
