met_id,concentration,concentration_var,concentration_lb,concentration_ub,concentration_units
akg,5.23E-05,1.350254017,1.13E-05,0.000241006,M
3mob,0.000196341,1.082564325,5.77E-05,0.0006684,M
5oxpro,4.67E-06,1.225173066,1.17E-06,1.87E-05,M
prpp,0.000162921,1.288492238,3.79E-05,0.000700175,M
6pgc,0.000052567,3.111149386,1.56E-06,0.001777007,M
accoa,0.000333722,1.273082885,7.90E-05,0.001409426,M
adp,4.83E-05,1.017717044,1.53E-05,0.000152687,M
r5p,2.48E-05,1.334675993,5.47E-06,0.00011214,M
amp,7.31E-06,1.132708297,2.03E-06,2.63E-05,M
atp,0.000474684,1.250889899,0.000115253,0.001955036,M
cdp,1.58E-05,1.061588391,4.74E-06,5.24E-05,M
cmp,1.39E-06,1.136567379,3.85E-07,5.04E-06,M
coa,0.00035637,1.290289993,8.28E-05,0.001534668,M
ctp,6.16E-05,1.229715226,1.53E-05,0.000247793,M
datp,4.43E-05,1.063720089,1.33E-05,0.000147737,M
dctp,2.34E-05,1.368150488,4.97E-06,0.00010997,M
fdp,0.004347467,1.645990952,0.000675015,0.028000086,M
f1p,0.000242325,1.000782333,7.81E-05,0.000752027,M
f6p,0.000361483,1.091268026,0.000105144,0.001242773,M
dgdp,4.30E-06,1.055457686,1.30E-06,1.42E-05,M
gam6p,5.16E-05,1.650954136,7.96E-06,0.000334101,M
g6p,0.000736454,1.897595948,8.60E-05,0.006305505,M
ru5p_DASH_D,6.48E-05,1.378947864,1.36E-05,0.000308644,M
dtdpglu,1.65E-05,1.035929528,5.11E-06,5.33E-05,M
dttp,3.38E-05,1.115639894,9.57E-06,0.000119576,M
dump,2.43E-08,1.141950752,6.68E-09,8.86E-08,M
fad,0.000534476,1.128002324,0.000149132,0.001915513,M
gdp,4.40E-05,1.304291774,1.01E-05,0.000192506,M
gtp,0.000116714,1.253505917,2.83E-05,0.000482123,M
imp,1.07E-05,2.054431432,1.05E-06,0.000109679,M
itp,1.17E-05,1.118632212,3.29E-06,4.14E-05,M
asp_DASH_L,0.000142219,1.403860927,2.90E-05,0.000696443,M
citr_DASH_L,1.38E-05,1.040973257,4.24E-06,4.47E-05,M
glu_DASH_L,0.006590225,1.233941896,0.001631094,0.02662696,M
gln_DASH_L,0.001302056,1.346440547,0.00028374,0.005975007,M
phe_DASH_L,1.74E-05,1.226862578,4.33E-06,6.96E-05,M
ser_DASH_L,0.000119037,1.397548074,2.45E-05,0.000578773,M
thr_DASH_L,0.000386258,1.319504042,8.68E-05,0.001719287,M
trp_DASH_L,1.46E-05,1.088096156,4.26E-06,5.00E-05,M
nadh,0.000189768,1.633971618,2.99E-05,0.001205702,M
nad,0.000582944,1.083237675,0.000171108,0.001986024,M
nadph,0.000371405,1.169934783,9.88E-05,0.001395767,M
nadp,4.21E-05,1.283537245,9.84E-06,0.00017971,M
gthox,0.000294665,2.671577298,1.43E-05,0.006057261,M
pep,0.000122661,1.32798777,2.73E-05,0.000551246,M
2pg,5.14E-05,1.43308199,1.02E-05,0.00026021,M
3pg,5.14E-05,1.43308199,1.02E-05,0.00026021,M
gthrd,0.001244782,1.04014699,0.00038363,0.004039002,M
udp,1.42E-05,1.098822062,4.10E-06,4.93E-05,M
ump,2.40E-05,1.704085129,3.49E-06,0.000165112,M
utp,0.000128257,1.241079756,3.15E-05,0.000522409,M
