met_id,concentration,concentration_var,concentration_lb,concentration_ub,concentration_units
3mob,0.001490487,1.344968235,0.000325344,0.006828312,M
accoa,0.000384023,1.486407237,7.14E-05,0.002064678,M
adp,7.70E-05,1.244447824,1.88E-05,0.000314759,M
r5p,1.12E-05,1.442414862,2.19624589825238E_DASH_06,5.75E-05,M
amp,1.06E-05,1.325128865,2.36841631619935E_DASH_06,4.75E-05,M
atp,0.000820181,1.306274861,0.000187043,0.003596494,M
cdp,2.97E-05,1.001662387,9.57336000043319E_DASH_06,9.24E-05,M
coa,0.000453581,1.102014929,0.000130337,0.001578486,M
ctp,0.000149983,1.142074699,4.12E-05,0.000546154,M
datp,0.000111213,1.222611984,2.79E-05,0.000443618,M
dcdp,1.63E-05,1.070009824,4.84272503545667E_DASH_06,5.46E-05,M
dctp,5.64E-05,1.079410849,1.66E-05,0.000191413,M
fdp,0.005165971,1.124283284,0.001447513,0.018436629,M
f6p,0.0002414,1.581767677,4.03E-05,0.001445763,M
dgdp,5.07330123929281E_DASH_06,1.104387111,1.45391522627735E_DASH_06,1.77E-05,M
g6p,0.000705758,1.271750048,0.000167361,0.002976171,M
ru5p_DASH_D,0.000113148,1.081491583,3.33E-05,0.00038472,M
dtdpglu,1.89E-05,1.554209373,3.26228466406237E_DASH_06,0.00010994,M
dttp,0.000104796,1.384561673,2.19E-05,0.000502099,M
fad,0.000322381,1.062562172,9.69E-05,0.001072917,M
gdp,4.05E-05,1.950107769,4.45449586630061E_DASH_06,0.000367757,M
gtp,0.00031909,1.150116179,8.68E-05,0.001172569,M
itp,3.41E-05,1.295545075,7.87137239870408E_DASH_06,0.000147721,M
citr_DASH_L,1.16E-05,1.485004177,2.15668894025526E_DASH_06,6.21E-05,M
glu_DASH_L,0.003439132,1.34334686,0.000752074,0.015726689,M
gln_DASH_L,0.000146207,1.097839078,4.22E-05,0.00050641,M
ser_DASH_L,0.000134578,2.38737579,9.03018894956108E_DASH_06,0.00200563,M
thr_DASH_L,0.000531999,1.114390016,0.000150745,0.001877491,M
trp_DASH_L,1.99E-05,1.11877351,5.60412943915556E_DASH_06,7.05E-05,M
nadh,0.00095259,1.262290326,0.000228325,0.003974285,M
nad,0.000806363,1.04466232,0.000247247,0.002629847,M
nadph,0.000168594,1.577470461,2.83E-05,0.001004828,M
nadp,6.37E-05,1.173904378,1.69E-05,0.000240324,M
pep,0.000374811,2.056749231,3.66E-05,0.003842404,M
2pg,0.000112809,1.229797067,2.81E-05,0.000453657,M
3pg,0.000112809,1.229797067,2.81E-05,0.000453657,M
gthrd,0.00051501,1.951607209,5.66E-05,0.004687423,M
udp,2.62E-05,1.229878365,6.52406041413487E_DASH_06,0.000105528,M
utp,0.000368221,1.210147884,9.36E-05,0.001448225,M
