reaction_id,reaction_formula,dG0_r,dG_r_lb,dG_r_ub,flux_lb,flux_ub,metabolomics_coverage,dG_coverage,is_feasible
CSND,csn_c + h2o_c + h_c --> nh4_c + ura_c,450.7733976920821,364.10156690108676,450.0043683074054,0.0,4.447850396798572,0.25,1.0,True
G6PDH2r,g6p_c + nadp_c --> 6pgl_c + nadph_c + h_c,-8.452756053091889,-55.73656108432497,5.720453268184585,0.0,1000.0,0.75,1.0,True
MEOHtrpp_reverse,meoh_c --> meoh_p,-11.869119260760755,-38.119377156992584,14.381138635471082,1.2898614941140363e-06,1.3381012092509466e-06,0.0,1.0,True
ACt2rpp_reverse,ac_c + h_c --> ac_p + h_p,-8.905101704131084,-86.63963642074344,-17.26310214049656,1.917,2.343,0.0,1.0,True
GUAPRT,gua_c + prpp_c --> ppi_c + gmp_c,-2104.77371898744,-2118.014029579088,-2056.7790502646594,0.0,6.674528804513216,0.5,1.0,True
NTD10,xmp_c + h2o_c --> xtsn_c + pi_c,284.9575450438207,218.46876834244878,295.1553091268276,0.0,6.674528804526403,0.0,1.0,True
NTD11,imp_c + h2o_c --> ins_c + pi_c,-5.4885688833235236,-58.192705283509255,-23.051385817269846,0.0,13.34355119033512,0.5,1.0,True
NTD12,h2o_c + dimp_c --> pi_c + din_c,472.198675692871,405.70989899149896,482.3964397758778,0.0,0.017767540768659273,0.0,1.0,True
NACODA,h2o_c + acg5sa_c --> ac_c + glu5sa_c,-36.68569894030196,-123.46035981555018,-21.65156387469895,0.0,6.00742821491862,0.0,1.0,True
3pg_to_ser_DASH_L,nad_c + glu_DASH_L_c + 3pg_c + h2o_c --> pi_c + nadh_c + h_c + akg_c + ser_DASH_L_c,7.911348476591968,-97.57797785671558,33.795785450295014,0.0,5.742234452145471,0.375,1.0,True
P5CD,1pyr5c_c + nad_c + 2 h2o_c --> glu_DASH_L_c + nadh_c + h_c,-505.3550064303413,-585.6289176940827,-489.6045383907089,0.0,10.604962262361541,0.4,1.0,True
FBA_reverse,dhap_c + g3p_c --> fdp_c,-21.557454596088064,-14.28260651198822,30.451424386417983,0.0,1000.0,0.6666666666666666,1.0,True
P5CR,1pyr5c_c + nadph_c + 2 h_c --> pro_DASH_L_c + nadp_c,-41.04621950435444,-74.48945595355539,12.89517297826373,0.13852983460635337,0.15447727616480209,0.5,1.0,True
PG161abcpp,pg161_c + h2o_c + atp_c --> pg161_p + adp_c + pi_c + h_c,-29.82129236435503,-1996247.2420771609,2003831.8394644689,0.0054077443140730964,0.006008604793414552,0.3333333333333333,0.7142857142857143,True
METSOXR2,metsox_DASH_R_DASH_L_c + trdrd_c --> met_DASH_L_c + h2o_c + trdox_c,361.1773720488444,-999680.9898860868,1000424.011145498,0.0,3.558280317411375,0.0,0.8,True
ADK4_reverse,adp_c + idp_c --> itp_c + amp_c,2.8738544778793766,-31.134504712514413,22.159240737197244,0.0,1000.0,0.75,1.0,True
ATPM,atp_c + h2o_c --> adp_c + pi_c + h_c,-29.82129236435503,-88.3474035087159,-44.89035918387164,3.15,16.49355119032714,0.5,1.0,True
METSOXR1,metsox_DASH_S_DASH_L_c + trdrd_c --> trdox_c + met_DASH_L_c + h2o_c,361.17737204884435,-999680.9898860868,1000424.011145498,0.0,3.558280317413194,0.0,0.8,True
GLCtexi,glc_DASH_D_e --> glc_DASH_D_p,0.0,-26.250257896231783,26.250257896231783,7.391043750003514,8.14,0.0,1.0,True
PHETA1_reverse,glu_DASH_L_c + phpyr_c --> phe_DASH_L_c + akg_c,0.11402369267392487,-35.02644377826096,35.82500121171414,0.11610107801595146,1000.0,0.5,1.0,True
MN2tpp,mn2_p --> mn2_c,0.0,-6137.610157896232,-6085.109642103767,0.0004243644315635179,0.00047039710183578666,0.0,1.0,True
DAPE_reverse,26dap_DASH_M_c --> 26dap_DASH_LL_c,1.6542798680000033,-24.595978028231894,27.9045377642319,0.0,999.7671638770437,0.0,1.0,True
KAS15,accoa_c + malACP_c + h_c --> actACP_c + coa_c + co2_c,-336.5160516417957,-1000398.3569316801,999680.861977517,0.20198263601705221,0.224425151130058,0.4,0.8333333333333334,True
FOMETRi,5fthf_c + h_c --> methf_c + h2o_c,278.54430117862205,250.53428844327493,327.22082922765395,0.0,1000.0,0.0,1.0,True
G5SADs,glu5sa_c --> h_c + 1pyr5c_c + h2o_c,446.2147063044308,418.20469356908364,494.8912343534627,0.13852983460635337,10.74349209695481,0.0,1.0,False
PSCVT_reverse,3psme_c + pi_c --> pep_c + skm5p_c,-19.332182878943968,-70.03909879338079,14.739773292037114,0.0,999.7601347768316,0.25,1.0,True
PHETA1,phe_DASH_L_c + akg_c --> glu_DASH_L_c + phpyr_c,-0.11402369267392487,-35.82500121171414,35.02644377826096,0.0,999.883898921984,0.5,1.0,True
SUCOAS_reverse,pi_c + adp_c + succoa_c --> succ_c + coa_c + atp_c,1.5297816010415772,-26.369387237525686,45.00247791071442,0.0,1000.0,0.6666666666666666,1.0,True
PYNP2r,pi_c + uri_c --> ura_c + r1p_c,3.7851844829469883,-31.723726712609945,23.10617010318599,0.0,1000.0,0.5,1.0,True
EX_etoh_LPAREN_e_RPAREN_,etoh_e --> ,-74.98921084125709,-62.57733454139277,-36.327076645160936,0.0,-0.0,0.0,1.0,True
PGM_reverse,3pg_c --> 2pg_c,4.129953475453249,-22.12030442077842,30.38021137168492,4.38293776165953,1000.0,0.0,1.0,True
hom_DASH_L_and_cyst_DASH_L_to_pyr_hcys_DASH_L,succoa_c + hom_DASH_L_c + h2o_c + cys_DASH_L_c --> hcys_DASH_L_c + succ_c + h_c + coa_c + nh4_c + pyr_c,253.32599541247112,118.08721636669404,294.48697561345466,0.10080590041874722,0.11200655602083025,0.3333333333333333,1.0,False
NTPP9,itp_c + h2o_c --> ppi_c + imp_c + h_c,-18.908795822867432,-67.73716889737253,-24.278923646555626,0.0,4.105708058546094,0.5,1.0,True
NTPP8,utp_c + h2o_c --> ppi_c + ump_c + h_c,-47.697906642164526,-112.22906756550758,-54.01687327771555,0.0,13.343551190332732,0.5,1.0,True
EX_meoh_LPAREN_e_RPAREN_,meoh_e --> ,5.8807454058286055,18.292621705692923,44.54287960192475,1.2898614941140363e-06,1.4331794379044846e-06,0.0,1.0,False
NTPP6,atp_c + h2o_c --> ppi_c + h_c + amp_c,-43.433992507559196,-104.87913057041544,-60.84905574719487,0.0,13.34355119032,0.5,1.0,True
NTPP5,datp_c + h2o_c --> damp_c + ppi_c + h_c,-96.95019643122669,-158.58284299783918,-110.0795313787126,0.0,13.34355119030613,0.5,1.0,True
NTPP4,ctp_c + h2o_c --> ppi_c + cmp_c + h_c,-47.00945257539388,-107.30016867890733,-48.9761542108466,0.0,13.343551190315338,0.5,1.0,True
NTPP3,dctp_c + h2o_c --> ppi_c + dcmp_c + h_c,-202.06168886534215,-267.49655389001714,-208.6934725300744,0.0,13.343551190305902,0.5,1.0,True
NTPP2,gtp_c + h2o_c --> ppi_c + h_c + gmp_c,-47.954458197997155,-111.9800100873488,-53.5369884367361,0.0,13.343551190312951,0.5,1.0,True
NTPP1,dgtp_c + h2o_c --> ppi_c + dgmp_c + h_c,-202.89644704075,-277.25923161613406,-184.82467508373117,0.0,13.343551190322955,0.0,1.0,True
ACODA,acorn_c + h2o_c --> orn_c + ac_c,-424.38048705731455,-503.84514142843074,-416.65635849584345,0.21117225423184222,4.281056291290383,0.0,1.0,True
ACOTA_reverse,glu_DASH_L_c + acg5sa_c --> acorn_c + akg_c,847.3328634209116,799.6911781985452,894.8510844987779,0.21117225423186767,1000.0,0.25,1.0,False
MOX_reverse,h2o2_c + oaa_c --> mal_DASH_L_c + o2_c,102.9671423669397,68.27887522681615,137.65540950706315,0.0,1000.0,0.0,1.0,True
MEOHtex_reverse,meoh_p --> meoh_e,0.0,-26.250257896231833,26.250257896231833,1.2898614941140363e-06,1.2987471778480164e-06,0.0,1.0,True
RPE_reverse,xu5p_DASH_D_c --> ru5p_DASH_D_c,3.5032280000000355,-22.747029896231634,29.753485896231705,0.0,1000.0,0.0,1.0,True
NDPK8_reverse,adp_c + datp_c --> dadp_c + atp_c,-6.248660390250734,-22.79445356603287,18.651063743637742,0.0,999.9840024928193,1.0,1.0,True
GUACYC,gtp_c --> ppi_c + 35cgmp_c,36.266081898336324,-17.2242607304551,41.17028985344675,0.0,13.343551190321136,0.3333333333333333,1.0,True
COFACTOR_8_amet,nad_c + ocACP_c + 4fe4s_c + 2 h_c + 2 amet_c --> lipopb_c + nadh_c + 2 dad_DASH_5_c + ACP_c + 2 met_DASH_L_c + 2fe2s_c + 2 fe2_c,1050.3585718529048,-3999274.835258665,4001096.991937294,2.1446880619846387e-06,2.144688061984635e-06,0.18181818181818182,0.6666666666666666,True
PTAr_reverse,actp_c + coa_c --> accoa_c + pi_c,-9.331420017304254,-22.80418931585418,30.164461985007186,0.0,1000.0,0.5,1.0,True
PUNP3,pi_c + gsn_c --> gua_c + r1p_c,10.85354229789732,-22.886620220640083,32.12512320551244,0.0,1000.0,0.5,1.0,True
CMPN,cmp_c + h2o_c --> r5p_c + csn_c,42.11516104538623,-28.15920546350965,39.7210584844584,0.0,4.447850396769232,0.5,1.0,True
GLBRAN2,glycogen_c --> bglycogen_c,1000.6104201018179,-999025.0758364245,1001026.2966766282,0.0,1000.0,0.0,0.5,True
CYTBO3_4pp,0.5 o2_c + 4 h_c + q8h2_c --> q8_c + h2o_c + 4 h_p,-145.3507606267126,-15786.657466632481,-15671.808111675387,5.311890882484455,31.99899326310384,0.0,1.0,True
GHBDHx_reverse,nad_c + ghb_c --> nadh_c + sucsal_c + h_c,-5.179448388267019,-56.34883509443185,22.799525721158673,0.0,1000.0,0.5,1.0,True
PE160abcpp,atp_c + h2o_c + pe160_c --> adp_c + h_c + pe160_p + pi_c,-29.82129236435503,-2000106.159652161,1999972.9218894688,0.020507507894919064,0.022786119883243403,0.3333333333333333,0.7142857142857143,True
PPND,nad_c + pphn_c --> 34hpp_c + co2_c + nadh_c,-8.935780159666251,-80.7047958013779,5.753571518344671,0.08656002514703687,0.0961778057188667,0.4,1.0,True
e4p_and_pep_to_3dhq,pep_c + h2o_c + e4p_c --> 2 pi_c + 3dhq_c,694.2885894630799,630.943124243157,717.9780018080934,0.23986522316840214,0.266516914631556,0.2,1.0,False
LSERDHr,nadp_c + ser_DASH_L_c --> nadph_c + h_c + 2amsa_c,24.317202400542328,-29.06018871219584,57.19643747986339,0.0,1000.0,0.5,1.0,True
ICL,icit_c --> succ_c + glx_c,9.470897517540266,-13.551745518117574,15.002312927782384,0.0,5.889180298980433,1.0,1.0,True
ASPTA,akg_c + asp_DASH_L_c --> glu_DASH_L_c + oaa_c,2.8706909374645875,-40.99252688833579,46.85737290776479,0.0,998.1616706955981,0.25,1.0,True
GART,gar_c + for_c + atp_c --> adp_c + fgam_c + pi_c + h_c,-26.61467970891681,-91.73691667498903,36.65290510292358,0.0,13.417778204752253,0.3333333333333333,1.0,True
LDH_D_reverse,nadh_c + pyr_c + h_c --> nad_c + lac_DASH_D_c,-19.067817003354776,-46.29652816806912,16.33344461416052,0.0,1000.0,0.75,1.0,True
EX_pi_LPAREN_e_RPAREN__reverse, --> pi_e,-1055.1032859495565,-1077.1345392238425,-1068.696529979951,0.5979449624078064,0.6643832915675878,0.0,1.0,True
METOX1s,h2o2_c + met_DASH_L_c --> metsox_DASH_S_DASH_L_c + h2o_c,-666.3224362340081,-1000661.1672014475,999399.7713235889,0.0,3.558280317422143,0.0,0.75,True
CYTDK2,gtp_c + cytd_c --> gdp_c + h_c + cmp_c,-533.9503703330545,-582.2737022747558,-498.6595358470839,0.0,13.34355119030949,0.75,1.0,True
PPK2r,ppi_c + atp_c --> adp_c + pppi_c,2812.3073027220403,-997209.6352928694,1002816.9457329678,0.0,1000.0,0.5,0.75,True
ADK3_reverse,adp_c + gdp_c --> amp_c + gtp_c,-12.464527933519548,-34.80777015552803,15.899330107834345,0.0,1000.0,1.0,1.0,True
MDDCP2pp,h2o_p + murein5px4px4p_p --> ala_DASH_D_p + murein4px4px4p_p,83.95162114007633,-1999987.0750239873,2000083.2377404575,0.0004340383927693732,0.0004822648808548591,0.0,0.5,True
ABTA,4abut_c + akg_c --> glu_DASH_L_c + sucsal_c,6.4365794526291324,-37.42663837317133,50.42326142292942,0.0,6.068485889349538,0.25,1.0,True
NDPK4_reverse,adp_c + dttp_c --> dtdp_c + atp_c,12.151108011874385,-12.891198491451071,55.35501376354366,0.0,999.9787456623001,0.75,1.0,True
LEUTAi,glu_DASH_L_c + 4mop_c --> leu_DASH_L_c + akg_c,0.7948091260240062,-43.19187284427631,44.658026951824496,0.2823364925851273,0.31370721398347473,0.25,1.0,True
RPI_reverse,ru5p_DASH_D_c --> r5p_c,-2.0378128686875243,-21.245123663470817,14.494696368146904,0.47433323589222376,1000.0,0.5,1.0,True
MG2t3_2pp,mg2_p + 2 h_c --> mg2_c + 2 h_p,0.0,-13958.413861536994,-13872.161308768964,0.005322613455461571,0.0059140149505128555,0.0,1.0,True
PIt2rpp,h_p + pi_p --> pi_c + h_c,3.352297963264391,2999.109961898992,3032.8619988745586,0.5979449624135569,0.6643832915685217,0.0,1.0,False
EX_fe2_LPAREN_e_RPAREN__reverse, --> fe2_e,2.09e-11,-38.66213419607525,-12.411876299843417,0.005223294120414791,0.0058036601337942105,0.0,1.0,True
PE161abcpp,pe161_c + atp_c + h2o_c --> adp_c + pe161_p + pi_c + h_c,-29.82129236435503,-2000106.159652161,1999972.9218894688,0.015950427236214173,0.01772269692912686,0.3333333333333333,0.7142857142857143,True
GSNK,atp_c + gsn_c --> adp_c + h_c + gmp_c,-2098.080318162193,-2122.5011245285277,-2068.67790062116,0.0,13.343551190320795,1.0,1.0,True
MDH,nad_c + mal_DASH_L_c --> nadh_c + h_c + oaa_c,24.98220576238782,-26.187180943777236,52.96117987181351,0.0,1000.0,0.5,1.0,True
PPBNGS,2 5aop_c --> ppbng_c + 2 h2o_c + h_c,-237.56754757945578,-254.36143748417405,-128.36661655140767,0.0017258346791245807,0.0019175940879162003,0.0,1.0,True
QUINDH_reverse,nadh_c + 3dhq_c + 2 h_c --> nad_c + quin_c,-11.29695641506055,-43.49493514643173,44.09143491305045,0.0,1000.0,0.5,1.0,True
SHK3Dr,3dhsk_c + nadph_c + h_c --> nadp_c + skm_c,-158.3495773488429,-187.57380917609783,-108.62718948817067,0.23986522316827164,1000.0,0.5,1.0,True
SULRi,so3_c + 3 nadph_c + 5 h_c --> h2s_c + 3 nadp_c + 3 h2o_c,-108.16127164310205,-133.42870147160522,40.600172226706405,0.15985060017331154,0.17761177797044175,0.4,1.0,True
ASPK,atp_c + asp_DASH_L_c --> adp_c + 4pasp_c,18.83889909781692,-25.134949767755415,45.508582617877444,0.6746891415877739,1000.0,0.5,1.0,True
ASPT,asp_DASH_L_c --> fum_c + nh4_c,16.185395620312534,-34.735169773367645,26.729333058019122,0.0,10.604962262360687,0.3333333333333333,1.0,True
PTAr,accoa_c + pi_c --> actp_c + coa_c,9.331420017304254,-30.164461985007186,22.80418931585418,0.0,1000.0,0.5,1.0,True
